"Text","Platform","Scheduled Date"
"Three resorts share one driveway in Cabo. I booked the 79-suite one.
The only Michelin star in Los Cabos came with it.

📍 Los Cabos, Mexico
💬 DM me CABO

#loscabos #luxurytravel","Instagram","Week 1 Mon"
"Three resorts share one driveway in Cabo. I booked the 79-suite one.
The only Michelin star in Los Cabos came with it.

📍 Los Cabos, Mexico
💬 DM me CABO

#loscabos #luxurytravel","Facebook","Week 1 Mon"
"Everyone books Cabo the same way. Sort by popularity, land on 902 rooms and a buffet.

Nine miles east, three Velas resorts share a driveway — 304 suites, 46 rooms, 79 suites. I booked the 79. The only Michelin star in Los Cabos came with the rate.

💬 DM me CABO

#loscabos #luxurytravel #traveladvisor","Instagram","Week 1 Wed"
"Everyone books Cabo the same way. Sort by popularity, land on 902 rooms and a buffet.

Nine miles east, three Velas resorts share a driveway — 304 suites, 46 rooms, 79 suites. I booked the 79. The only Michelin star in Los Cabos came with the rate.

💬 DM me CABO

#loscabos #luxurytravel #traveladvisor","Facebook","Week 1 Wed"
"","Instagram","Week 1 Thu"
"","Facebook","Week 1 Thu"
"Day three, somewhere between the pool and the room, I stopped being a reservation.

It happens quietly. Somebody remembers you take it black. Somebody else notices you left your book on the lounger and it's on your table by dinner. Nobody announces any of it.

Then dessert came out on a board with my name written across it in cream.

Not “Room 412.” Not “the Smith party.” Bonnie.

I have stayed in a lot of beautiful hotels. Beautiful is available. Beautiful is a filter you can tick. What isn't available anywhere, at any price, is the moment a place decides to know who you are — and there is no field on a booking site where you can ask for that.

I can't promise it to you either. What I can do is put you somewhere with 79 suites instead of 902 rooms, where the arithmetic of the thing makes it possible.

That's the whole job, really. I can't manufacture the moment. I can stack the odds until it almost has to happen.

📍 Los Cabos, Mexico

#loscabos #luxurytravel","Instagram","Week 2 Mon"
"Day three, somewhere between the pool and the room, I stopped being a reservation.

It happens quietly. Somebody remembers you take it black. Somebody else notices you left your book on the lounger and it's on your table by dinner. Nobody announces any of it.

Then dessert came out on a board with my name written across it in cream.

Not “Room 412.” Not “the Smith party.” Bonnie.

I have stayed in a lot of beautiful hotels. Beautiful is available. Beautiful is a filter you can tick. What isn't available anywhere, at any price, is the moment a place decides to know who you are — and there is no field on a booking site where you can ask for that.

I can't promise it to you either. What I can do is put you somewhere with 79 suites instead of 902 rooms, where the arithmetic of the thing makes it possible.

That's the whole job, really. I can't manufacture the moment. I can stack the odds until it almost has to happen.

📍 Los Cabos, Mexico

#loscabos #luxurytravel","Facebook","Week 2 Mon"
"Nobody put this on a booking site because there's no field for it.

Three resorts share that driveway. I picked the 79-suite one. This is what the difference looks like on day three.

💬 DM me CABO

#loscabos #luxurytravel","Instagram","Week 2 Wed"
"Nobody put this on a booking site because there's no field for it.

Three resorts share that driveway. I picked the 79-suite one. This is what the difference looks like on day three.

💬 DM me CABO

#loscabos #luxurytravel","Facebook","Week 2 Wed"
"Three decisions, none of which a booking site can make for you.

Which of three adjacent resorts. Which coast you sleep on. And the sentence about the water that you're supposed to discover at check-in.

That's the job. The rest is paperwork.

💬 DM me CABO

#traveladvisor #loscabos","Instagram","Week 2 Fri"
"Three decisions, none of which a booking site can make for you.

Which of three adjacent resorts. Which coast you sleep on. And the sentence about the water that you're supposed to discover at check-in.

That's the job. The rest is paperwork.

💬 DM me CABO

#traveladvisor #loscabos","Facebook","Week 2 Fri"
"","Instagram","Week 3 Mon"
"","Facebook","Week 3 Mon"
"The fee is $400. One dinner at the only Michelin-starred restaurant in Los Cabos is $390 — unless I put you where it's included.

💬 DM me CABO

#loscabos #traveladvisor","Instagram","Week 3 Wed"
"The fee is $400. One dinner at the only Michelin-starred restaurant in Los Cabos is $390 — unless I put you where it's included.

💬 DM me CABO

#loscabos #traveladvisor","Facebook","Week 3 Wed"
"A booking engine has one lever: popularity. It sorts, it doesn't judge.

So it hands you 902 rooms and 13,277 reviews and a 3.0 rating, and calls that the best Cabo has. Nine miles east there are 79 suites with a Michelin star in the rate.

Same week. Same money.

💬 DM me CABO

#traveladvisor #loscabos","Instagram","Week 3 Fri"
"A booking engine has one lever: popularity. It sorts, it doesn't judge.

So it hands you 902 rooms and 13,277 reviews and a 3.0 rating, and calls that the best Cabo has. Nine miles east there are 79 suites with a Michelin star in the rate.

Same week. Same money.

💬 DM me CABO

#traveladvisor #loscabos","Facebook","Week 3 Fri"
